iter	Passed	Remaining
447	1103	1359
448	1106	1357
449	1109	1355
450	1111	1352
451	1113	1350
452	1116	1347
453	1118	1345
454	1120	1342
455	1123	1340
456	1125	1337
457	1128	1335
458	1130	1332
459	1133	1330
460	1135	1327
461	1137	1324
462	1140	1322
463	1142	1319
464	1144	1317
465	1147	1314
466	1149	1311
467	1151	1309
468	1153	1306
469	1156	1303
470	1158	1300
471	1160	1297
472	1171	1305
473	1174	1302
474	1176	1300
475	1178	1297
476	1180	1294
477	1182	1291
478	1185	1289
479	1187	1286
480	1189	1283
481	1192	1281
482	1194	1278
483	1196	1275
484	1198	1273
485	1201	1270
486	1203	1267
487	1205	1265
488	1207	1262
489	1210	1259
490	1212	1256
491	1214	1254
492	1216	1251
493	1219	1248
494	1221	1246
495	1223	1243
496	1225	1240
497	1228	1238
498	1230	1235
499	1232	1232
500	1234	1230
501	1237	1227
502	1240	1225
503	1242	1222
504	1244	1220
505	1247	1217
506	1249	1214
507	1251	1212
508	1253	1209
509	1255	1206
510	1258	1203
511	1260	1201
512	1262	1198
513	1264	1195
514	1267	1193
515	1269	1190
516	1271	1188
517	1274	1185
518	1276	1183
519	1278	1180
520	1281	1177
521	1283	1175
522	1286	1172
523	1288	1170
524	1290	1167
525	1293	1165
526	1296	1163
527	1298	1161
528	1301	1159
529	1304	1156
530	1307	1154
531	1309	1152
532	1312	1149
533	1315	1147
534	1318	1145
535	1320	1143
536	1323	1141
537	1326	1139
538	1329	1136
539	1332	1134
540	1334	1132
541	1337	1130
542	1340	1128
543	1343	1126
544	1346	1124
545	1349	1122
546	1352	1119
547	1355	1117
548	1357	1115
549	1360	1113
550	1363	1111
551	1367	1109
552	1369	1107
553	1372	1105
554	1375	1103
555	1378	1101
556	1381	1098
557	1384	1096
558	1387	1094
559	1390	1092
560	1393	1090
561	1396	1088
562	1399	1086
563	1401	1083
564	1404	1081
565	1407	1078
566	1410	1076
567	1412	1074
568	1415	1071
569	1417	1069
570	1420	1067
571	1422	1064
572	1425	1062
573	1427	1059
574	1430	1057
575	1433	1054
576	1435	1052
577	1438	1050
578	1440	1047
579	1443	1045
580	1445	1042
581	1448	1040
582	1450	1037
583	1453	1035
584	1455	1032
585	1458	1030
586	1460	1027
587	1463	1025
588	1465	1022
589	1467	1020
590	1470	1017
591	1472	1014
592	1475	1012
593	1477	1010
594	1480	1007
595	1482	1005
596	1485	1002
597	1487	1000
598	1490	997
599	1492	995
600	1495	992
601	1497	990
602	1500	987
603	1502	985
604	1505	982
605	1507	980
606	1510	977
607	1512	975
608	1515	972
609	1517	970
610	1520	967
611	1522	965
612	1525	963
613	1528	960
614	1530	958
615	1533	955
616	1535	953
617	1537	950
618	1540	948
619	1543	945
620	1545	943
621	1548	940
622	1550	938
623	1553	936
624	1556	933
625	1558	931
626	1561	928
627	1563	926
628	1566	923
629	1568	921
630	1571	918
631	1574	916
632	1576	914
633	1579	911
634	1582	909
635	1584	906
636	1587	904
637	1590	902
638	1593	899
639	1595	897
640	1598	895
641	1600	892
642	1603	890
643	1606	887
644	1608	885
645	1611	883
646	1613	880
647	1616	878
648	1619	875
649	1621	873
650	1624	870
651	1627	868
652	1629	866
653	1632	863
654	1634	861
655	1637	858
656	1639	856
657	1642	853
658	1645	851
659	1647	848
660	1649	846
661	1653	844
662	1655	841
663	1658	839
664	1660	836
665	1663	834
666	1665	831
667	1668	829
668	1671	826
669	1673	824
670	1676	821
671	1678	819
672	1681	816
673	1683	814
674	1686	812
675	1689	809
676	1691	807
677	1694	804
678	1696	802
679	1699	799
680	1701	797
681	1704	794
682	1706	792
683	1709	789
684	1711	787
685	1714	784
686	1716	782
687	1719	779
688	1722	777
689	1724	774
690	1726	772
691	1729	769
692	1732	767
693	1734	764
694	1737	762
695	1739	759
696	1742	757
697	1744	754
698	1747	752
699	1749	749
700	1752	747
701	1755	745
702	1757	742
703	1760	740
704	1762	737
705	1765	735
706	1768	732
707	1770	730
708	1773	727
709	1775	725
710	1778	722
711	1781	720
712	1783	718
713	1786	715
714	1788	713
715	1791	710
716	1793	708
717	1797	705
718	1799	703
719	1802	700
720	1804	698
721	1807	695
722	1809	693
723	1812	691
724	1815	688
725	1818	686
726	1820	683
727	1822	681
728	1825	678
729	1828	676
730	1831	673
731	1833	671
732	1835	668
733	1838	666
734	1840	663
735	1843	661
736	1846	658
737	1849	656
738	1851	653
739	1854	651
740	1856	648
741	1859	646
742	1862	644
743	1864	641
744	1867	639
745	1869	636
746	1871	633
747	1874	631
748	1877	629
749	1879	626
750	1882	624
751	1884	621
752	1887	619
753	1889	616
754	1892	614
755	1895	611
756	1897	609
757	1900	606
758	1902	604
759	1905	601
760	1907	599
761	1910	596
762	1912	594
763	1915	591
764	1918	589
765	1920	586
766	1923	584
767	1926	581
768	1928	579
769	1931	576
770	1934	574
771	1936	571
772	1939	569
773	1941	566
774	1944	564
775	1946	561
776	1949	559
777	1951	556
778	1954	554
779	1957	552
780	1959	549
781	1962	547
782	1965	544
783	1967	542
784	1970	539
785	1973	537
786	1976	534
787	1978	532
788	1981	529
789	1983	527
790	1986	524
791	1989	522
792	1991	519
793	1994	517
794	1996	514
795	1999	512
796	2001	509
797	2004	507
798	2007	505
799	2010	502
800	2013	500
801	2015	497
802	2018	495
803	2021	492
804	2023	490
805	2026	487
806	2029	485
807	2031	482
808	2034	480
809	2036	477
810	2039	475
811	2041	472
812	2044	470
813	2047	467
814	2049	465
815	2052	462
816	2055	460
817	2058	457
818	2061	455
819	2063	453
820	2066	450
821	2069	448
822	2072	445
823	2074	443
824	2077	440
825	2080	438
826	2082	435
827	2085	433
828	2088	430
829	2090	428
830	2093	425
831	2095	423
832	2098	420
833	2101	418
834	2104	415
835	2106	413
836	2109	410
837	2111	408
838	2113	405
839	2116	403
840	2119	400
841	2121	398
842	2124	395
843	2126	393
844	2129	390
845	2131	388
846	2134	385
847	2136	383
848	2139	380
849	2142	378
850	2144	375
851	2147	373
852	2150	370
853	2152	368
854	2155	365
855	2157	362
856	2160	360
857	2163	358
858	2166	355
859	2168	353
860	2170	350
861	2173	347
862	2176	345
863	2178	342
864	2181	340
865	2184	337
866	2186	335
867	2189	332
868	2191	330
869	2194	327
870	2197	325
871	2199	322
872	2202	320
873	2204	317
874	2206	315
875	2209	312
876	2211	310
877	2214	307
878	2216	305
879	2219	302
880	2221	300
881	2224	297
882	2226	295
883	2229	292
884	2232	290
885	2234	287
886	2237	285
887	2239	282
888	2242	279
889	2244	277
890	2247	274
891	2249	272
892	2252	269
893	2254	267
894	2257	264
895	2260	262
896	2262	259
897	2265	257
898	2267	254
899	2270	252
900	2273	249
901	2275	247
902	2278	244
903	2281	242
904	2283	239
905	2286	237
906	2288	234
907	2291	232
908	2294	229
909	2297	227
910	2299	224
911	2301	222
912	2304	219
913	2307	217
914	2309	214
915	2312	212
916	2314	209
917	2317	206
918	2319	204
919	2322	201
920	2324	199
921	2326	196
922	2329	194
923	2332	191
924	2334	189
925	2337	186
926	2339	184
927	2342	181
928	2345	179
929	2347	176
930	2349	174
931	2352	171
932	2354	169
933	2357	166
934	2360	164
935	2362	161
936	2365	159
937	2367	156
938	2370	153
939	2372	151
940	2375	148
941	2378	146
942	2380	143
943	2383	141
944	2385	138
945	2388	136
946	2390	133
947	2393	131
948	2396	128
949	2398	126
950	2401	123
951	2403	121
952	2406	118
953	2408	116
954	2411	113
955	2414	111
956	2416	108
957	2419	106
958	2421	103
959	2424	101
960	2427	98
961	2429	95
962	2432	93
963	2434	90
964	2438	88
965	2440	85
966	2443	83
967	2446	80
968	2448	78
969	2451	75
970	2453	73
971	2456	70
972	2458	68
973	2461	65
974	2463	63
975	2466	60
976	2469	58
977	2471	55
978	2474	53
979	2476	50
980	2479	48
981	2481	45
982	2484	42
983	2487	40
984	2489	37
985	2492	35
986	2494	32
987	2497	30
988	2499	27
989	2502	25
990	2504	22
991	2506	20
992	2509	17
993	2511	15
994	2514	12
995	2516	10
996	2519	7
997	2522	5
998	2524	2
999	2527	0
